sequence,sequence_as_text,freq,dl_model,dl_data,dl_total
null,null,0,21783.026764792372,2.099361714789711e+07,2.10154001746619e+07
[0 0 2],[t t e],3517,22103.39212417038,2.09782405438712e+07,2.100034393599537e+07
[0 0 6],[t t l],1405,21976.022667125184,2.0982770128479246e+07,2.100474615114637e+07
[0 0 17],[t t i],970,22142.17901727255,2.0991737091523647e+07,2.101387927054092e+07
[0 1 2],[t h e],92016,22694.159134390928,2.075037552239683e+07,2.077306968153122e+07
[0 1 3],[t h  ],11854,23092.762810989607,2.0982014779254854e+07,2.1005107542065844e+07
[0 1 7],[t h o],4276,22406.76966705646,2.099372512731719e+07,2.1016131896984246e+07
[0 1 12],[t h r],2467,22197.635895274965,2.098673949636565e+07,2.1008937132260926e+07
[0 1 13],[t h a],12955,22461.222959786803,2.0970264119037926e+07,2.0992725341997713e+07
[0 1 17],[t h i],9091,22495.778799089185,2.0989457391664598e+07,2.101195317046369e+07
[0 2 2],[t e e],993,22413.337129218646,2.0992867870872185e+07,2.1015281208001405e+07
[0 2 3],[t e  ],7139,22727.71343176837,2.0998891406205356e+07,2.1021619119637124e+07
[0 2 6],[t e l],1731,22324.93564124469,2.099258276739551e+07,2.1014907703036755e+07
[0 2 8],[t e n],3889,22510.140723726334,2.099184483101832e+07,2.101435497174205e+07
[0 2 9],[t e c],740,22191.364068479834,2.099278949063794e+07,2.1014980854706418e+07
[0 2 12],[t e r],12875,22655.99121307751,2.0968258626589663e+07,2.099091461780274e+07
[0 2 13],[t e a],901,22317.70391704938,2.0993056666122608e+07,2.1015374370039657e+07
[0 2 14],[t e d],8641,22342.11643386612,2.0977386430456724e+07,2.099972854689059e+07
[0 2 16],[t e s],2736,22413.992131497453,2.099324481015294e+07,2.101565880228444e+07
[0 2 21],[t e m],1825,22322.721784233912,2.099038634697782e+07,2.1012709068762053e+07
[0 3 0],[t   t],14124,22422.732927830333,2.09824903130721e+07,2.100491304599993e+07
[0 3 1],[t   h],5159,22322.946555283634,2.0991497738515362e+07,2.1013820685070645e+07
[0 3 2],[t   e],1726,22527.808903438465,2.0991055395392206e+07,2.1013583204295643e+07
[0 3 4],[t   f],2952,22341.97778307943,2.099289914692658e+07,2.1015241124709662e+07
[0 3 5],[t   u],997,22389.427951336944,2.099215089380549e+07,2.1014540321756825e+07
[0 3 6],[t   l],1848,22341.075422518024,2.0992596605532445e+07,2.1014937680954963e+07
[0 3 7],[t   o],8082,22625.378340381325,2.09809691846946e+07,2.100359456303498e+07
[0 3 8],[t   n],1468,22345.65941806218,2.0990997640966408e+07,2.101334330038447e+07
[0 3 9],[t   c],3059,22423.197248290668,2.0994646606773224e+07,2.1017069804021515e+07
[0 3 10],[t   y],843,22222.506173894966,2.0991082753929153e+07,2.1013305260103047e+07
[0 3 11],[t   g],1058,22384.96643708915,2.0993249569376007e+07,2.1015634535813097e+07
[0 3 12],[t   r],1716,22326.133068019808,2.099337721387579e+07,2.101570334694381e+07
[0 3 13],[t   a],8370,22700.44384029908,2.0996540595969923e+07,2.101924103981022e+07
[0 3 14],[t   d],2247,22435.549387231364,2.099162705273485e+07,2.1014062602122083e+07
[0 3 16],[t   s],4634,22549.340439476626,2.0992684189049777e+07,2.1015233529489253e+07
[0 3 17],[t   i],7768,22486.329270816143,2.0986032758523535e+07,2.1008519087794352e+07
[0 3 19],[t   XXX],2024,22582.303867913208,2.0993681384900745e+07,2.101626368876866e+07
[0 3 20],[t   p],2434,22393.08838640381,2.0995133448440436e+07,2.101752653682684e+07
[0 3 21],[t   m],2971,22410.17614640152,2.0993714153261144e+07,2.1016124329407547e+07
[0 3 23],[t   .],4225,22864.885692357824,2.099476929926965e+07,2.101763418496201e+07
[0 3 25],[t   ,],4705,22314.434715897278,2.0996226731359217e+07,2.1018541166075114e+07
[0 3 26],[t   w],6032,22371.106688413172,2.099215528463888e+07,2.1014526391327295e+07
[0 3 27],[t   b],3441,22417.343510633516,2.09941101829058e+07,2.1016527526416436e+07
[0 5 12],[t u r],4505,22542.672777730084,2.097927102549319e+07,2.100181369827092e+07
[0 5 13],[t u a],1030,22148.10042298817,2.098854074952474e+07,2.101068884994773e+07
[0 5 14],[t u d],1140,22027.654614306375,2.0986629039998986e+07,2.1008656694613293e+07
[0 6 2],[t l e],2038,22367.26651738899,2.0983694569094386e+07,2.1006061835611776e+07
[0 6 10],[t l y],1948,22164.875791099406,2.0986323294345606e+07,2.1008488170136705e+07
[0 7 3],[t o  ],28323,22928.675337667883,2.0879029743181776e+07,2.0901958418519445e+07
[0 7 6],[t o l],656,22345.548727651632,2.099352128407219e+07,2.101586683279984e+07
[0 7 7],[t o o],1740,22224.94554146631,2.098839569176414e+07,2.1010620637305606e+07
[0 7 8],[t o n],1671,22538.899074218563,2.0995083676549587e+07,2.1017622575623807e+07
[0 7 12],[t o r],3888,22428.791969251142,2.0991650601124384e+07,2.1014079393093634e+07
[0 7 20],[t o p],701,22416.157531729838,2.0992416098735955e+07,2.1014832256267685e+07
[0 7 21],[t o m],866,22371.328979713246,2.0994864308466204e+07,2.1017235637445915e+07
[0 7 26],[t o w],932,22345.521747193965,2.099278609058194e+07,2.1015131612329133e+07
[0 9 1],[t c h],1412,22349.511464093437,2.0987297849932022e+07,2.1009647361396115e+07
[0 10 3],[t y  ],6440,22668.14892585666,2.098063040274729e+07,2.1003298551673144e+07
[0 12 2],[t r e],2174,22550.75282750265,2.0991704468560718e+07,2.101425522138822e+07
[0 12 5],[t r u],1698,22360.883547954523,2.098566367726003e+07,2.1008024560807984e+07
[0 12 7],[t r o],2056,22536.29995117786,2.0990821675741233e+07,2.101335797569241e+07
[0 12 10],[t r y],1140,22221.216774451816,2.0991554704233013e+07,2.1013775921007466e+07
[0 12 13],[t r a],4876,22653.60522958343,2.0982502103331804e+07,2.1005155708561387e+07
[0 12 17],[t r i],2867,22448.27413602406,2.0986283792286392e+07,2.1008732066422418e+07
[0 13 0],[t a t],3641,22316.272912561435,2.098232376260685e+07,2.1004640035519414e+07
[0 13 6],[t a l],2329,22321.334388318963,2.0991626498105694e+07,2.1013947832494013e+07
[0 13 8],[t a n],3171,22532.879121305505,2.098859839987179e+07,2.1011131278993096e+07
[0 13 11],[t a g],696,22199.61521376001,2.0991337760555197e+07,2.1013537375768956e+07
[0 13 12],[t a r],1726,22499.80979905393,2.0990586197103877e+07,2.101308600690293e+07
[0 13 17],[t a i],2173,22291.501863133017,2.098446161732781e+07,2.1006753119190942e+07
[0 13 22],[t a k],1376,22191.271565100487,2.0988473446696393e+07,2.1010664718261495e+07
[0 13 27],[t a b],1175,22319.141700250122,2.098963933579686e+07,2.101195847749711e+07
[0 16 3],[t s  ],10769,22881.992796586845,2.097053854283774e+07,2.0993420535634328e+07
[0 17 0],[t i t],1304,22378.75371543504,2.0992294508916013e+07,2.1014673262631446e+07
[0 17 2],[t i e],1888,22369.17812537281,2.0988888605228942e+07,2.1011257783354316e+07
[0 17 4],[t i f],702,22193.40615298143,2.0991778230696052e+07,2.1013971636849035e+07
[0 17 6],[t i l],1772,22403.490913364098,2.099182696276122e+07,2.1014230453674585e+07
[0 17 7],[t i o],17757,22135.035217273915,2.0882803220684815e+07,2.090493825590209e+07
[0 17 8],[t i n],5718,22461.37628065507,2.0989140366928425e+07,2.101160174320908e+07
[0 17 9],[t i c],4381,22326.190827070895,2.0984469260006614e+07,2.1006795450833686e+07
[0 17 13],[t i a],1116,22230.8113520304,2.099162581187207e+07,2.10138566232241e+07
[0 17 16],[t i s],1046,22432.663299192922,2.0994095150603015e+07,2.1016527813902207e+07
[0 17 18],[t i v],2965,22127.221879939258,2.0986517883716125e+07,2.1008645105596066e+07
[0 17 21],[t i m],3141,22429.485295387563,2.098870746613975e+07,2.1011136951435138e+07
[0 19 16],[t XXX s],1064,22413.417236503716,2.098956520246427e+07,2.1011978619700775e+07
[0 21 2],[t m e],839,22135.028871021754,2.0988324971518774e+07,2.1010460000389796e+07
[0 26 2],[t w e],1040,22215.77295868646,2.0986793452417124e+07,2.100900922537581e+07
[0 26 7],[t w o],1586,22251.241999874255,2.0984663889756553e+07,2.100691513175643e+07
